region,year,id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
江西省,2012,江西省2012,23059.39004815409,0.33386837881219905,23877.0,0.059997228765414995,0.12437342932826191,1398.0,0.2546531302876481,0.08104825059242886,1.2137981389662433,0.7523224848924407,675.3201
江西省,2013,江西省2013,23425.396825396827,0.4271047227926078,29519.0,0.11740093526950529,0.14072938543375285,2333.0,0.29466553767993225,0.08655894886363637,1.162433124338908,0.5453087949989222,833.1
江西省,2014,江西省2014,25384.980237154152,0.30421455938697317,28803.0,0.11453940066592674,0.16971157314556973,3383.0,0.3373083475298126,0.08913777160264927,1.1622779805791623,0.5656077277864491,1013.0
江西省,2015,江西省2015,21446.59442724458,0.06838453914767097,31321.0,0.12879244524814146,0.19564629529475394,4765.0,0.3947818648417451,0.1077719717210886,1.1988614044576016,0.5084388185654009,1087.26
江西省,2016,江西省2016,20354.545454545456,0.1695774647887324,34924.0,0.20241360394953373,0.24452260759528116,6993.0,0.4562607204116638,0.11538792027594899,1.1878818390867159,,1317.85
江西省,2017,江西省2017,24446.85628742515,0.49834107498341074,45082.0,0.23014050877031866,0.41812763501304956,10806.0,0.459214501510574,0.11971675525140518,1.1257654085524993,0.599320279362653,1890.0
江西省,2018,江西省2018,28238.1667918858,0.14855987872662962,67394.0,0.3049871023215821,0.40322233247017253,11878.0,0.5686274509803921,0.15617758828436368,1.1236054306526948,0.43482195944682756,1890.0
江西省,2019,江西省2019,28525.688756515265,0.18391633609808872,85032.0,0.3328981723237598,0.37978505162863846,13328.0,0.6584723441615452,0.15997878734311471,1.1015477194502064,0.7676919518963923,1890.0
江西省,2020,江西省2020,27160.766961651916,0.19164882226980728,100473.0,0.35429886339864725,0.5901552560167267,18715.0,0.7857773851590106,0.15899110112914552,1.0908625828551093,0.4435686543294494,1890.0
江西省,2021,江西省2021,37190.44117647059,,97497.0,0.3785492948839562,0.48849202330869285,21690.0,0.9415700267618198,0.17521756946015865,0.9523699932798793,0.5539743552125818,1890.0
河北省,2007,河北省2007,16068.423485899215,0.47879767766590725,,0.27934621099554235,0.016856513649998104,1058.0,0.09440732120590346,0.03315012834847793,4.477565781979725,0.8539078082968873,101.4
河北省,2008,河北省2008,18948.608719296655,0.5725571725571725,27259.0,0.0733179037857497,0.02245867013927488,1058.0,0.09689558360129481,0.0451512585411435,3.8625148882783593,0.5809542950740987,105.54
河北省,2009,河北省2009,20530.415754923415,0.07522485690923958,36418.0,0.04170913367306939,0.027252071005917162,1539.0,0.11179989927461906,0.05033743438775794,4.010854437869822,0.9938430319032412,166.8
河北省,2010,河北省2010,19462.088698140204,0.4969927192149414,,0.1782421634910879,0.035396459019892995,2601.0,0.10592503022974607,0.041700327345234815,3.495805259436165,0.8942991185669604,214.12
河北省,2011,河北省2011,22837.175792507205,0.5376031052886948,51498.0,0.05669835782195333,0.03331398913805186,2601.0,0.09053095179838512,0.03167854612146221,3.0740879029432375,0.5625918805835124,288.4
河北省,2012,河北省2012,25875.271936185643,0.36036911121903836,55979.0,0.061893203883495146,0.03474873513983301,3358.0,0.10657149889244401,0.03113925929977691,2.9759102337275354,0.7523224848924407,454.16
河北省,2013,河北省2013,27909.48905109489,0.36563169164882225,65049.0,0.06106815578465063,0.03934399593805534,4049.0,0.125,0.039419314732877464,3.0123767453668444,0.5453087949989222,562.92
河北省,2014,河北省2014,29472.79411764706,0.1390593047034765,75142.0,0.07338333671194,0.04397144078836153,4999.0,0.13976872800402212,0.0529319391780612,2.9156061374461784,0.5084388185654009,710.0
河北省,2015,河北省2015,30504.811250925242,-1.8311688311688312,79452.0,0.09068931721659589,0.051913947179446265,7740.0,0.16119174942704353,0.06793760244643138,3.095527806590601,0.75,864.28
河北省,2016,河北省2016,32858.97435897437,0.33613074204946997,82971.0,0.11521267949065293,0.04818006861350515,13074.0,0.14985795454545456,0.05790182266412325,2.9247250346321554,,979.41
河北省,2017,河北省2017,35474.563401670464,-1.2183967112024665,79135.0,0.1499661933739013,0.03751463819820801,14750.0,0.15047424346875224,0.060083970112832535,2.9124395181422877,0.599320279362653,1029.0
河北省,2018,河北省2018,39142.63803680982,-0.04312938816449348,68956.0,0.11697784916014187,0.03780774544157068,18762.0,0.15490574581158695,0.05651761088755257,2.9445888950897965,0.6352151219447076,1029.0
河北省,2019,河北省2019,42913.52201257862,-0.4198895027624309,76096.0,0.17836279493209922,0.03653716933088132,21487.0,0.1809832522960562,0.08831363020419607,2.877478250106097,0.4435686543294494,1029.0
河北省,2020,河北省2020,45069.24315619968,0.21415607985480944,86337.0,0.22031041505723717,0.05650500252912784,28135.0,0.2029419776627622,0.09918357226166095,2.8105897583182586,0.5386521404791064,1029.0
河北省,2021,河北省2021,69325.12315270935,,83401.0,0.24220251751720717,0.04663642860680852,34240.0,0.2305791929728246,0.10957855030429434,2.319721489071135,0.5740197199147913,1029.0
河南省,2007,河南省2007,10278.106009453073,0.5001332267519318,,0.31352785145888595,0.013136744396649311,2102.0,0.09457820890351637,0.02879202270397783,2.524054788317863,0.8539078082968873,141.96
